asset,description,buildingcode,buildingname,floor,directions
24757,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
24758,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
24759,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
24760,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
24761,"PL, BOTTLE FILLER WATER FILTER, New South Building",0127,New South Building,N/A,N/A
24736,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_03_K34,Patton Hall,3,3
24737,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_04_I17,Patton Hall,4,4
24732,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023,Patton Hall,N/A,N/A
24733,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_A_K55,Patton Hall,A,A
24734,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_01_H53,Patton Hall,1,1
24735,"PL, BOTTLE FILLER WATER FILTER, Patton Hall",0023_02_M19,Patton Hall,2,2
50842,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_BC_FF10,Princeton Neuroscience Institute,BC,BC
50843,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_A_W9,Princeton Neuroscience Institute,A,A
50844,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_A_NN27,Princeton Neuroscience Institute,A,A
50845,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_01_Z9,Princeton Neuroscience Institute,1,1
50846,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_01_NN28,Princeton Neuroscience Institute,1,1
50847,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_02_AA9,Princeton Neuroscience Institute,2,2
50991,"PL, BOTTLE FILLER WATER FILTER, Neuroscience",0659_02_GG28,Princeton Neuroscience Institute,2,2
52822,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_TTT66,Princeton Stadium,1,1
52824,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_L66,Princeton Stadium,1,1
52823,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_TTT66,Princeton Stadium,1,1
52825,"PL, BOTTLE FILLER WATER FILTER, OUTDOOR- Princeton Stadium",0610_01_L66,Princeton Stadium,1,1
57409,"PL, BOTTLE FILLER WATER FILTER, Princeton Stadium",0610_00_MMM14,Princeton Stadium,0,0
25018,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 58",0586_01_T4,"Prospect Avenue, 58",1,1
25019,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 58",0586_02_W3,"Prospect Avenue, 58",2,2
25020,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 58",0586_03_V3,"Prospect Avenue, 58",3,3
67225,"PL, BOTTLE FILLER WATER FILTER, Prospect Avenue, 91",0122_01_E16,"Prospect Avenue, 91",1,1
90949,"PL, BOTTLE FILLER WATER FILTER, Scheide Caldwell House, Hallway 102COR",0624_01_G4,Scheide Caldwell House,1,1
90950,"PL, BOTTLE FILLER WATER FILTER, Scheide Caldwell House, Hallway 202COR",0624_02_G4,Scheide Caldwell House,2,2
89215,"SF-GM, BOTTLE FILLER WATER FILTER, Schultz Laboratory",0568_01_K30,Schultz Laboratory,1,1
24799,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_02_UU18,Scully Hall,2,2
24796,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_01_UU18,Scully Hall,1,1
24797,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_01_TT54,Scully Hall,1,1
24798,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_01_K55,Scully Hall,1,1
24800,"PL, BOTTLE FILLER WATER FILTER, Scully Hall",0603_03_A03049,Scully Hall,3,3
24776,"PL, BOTTLE FILLER WATER FILTER, Shea Rowing Center",0032,Shea Rowing Center,N/A,N/A
24777,"PL, BOTTLE FILLER WATER FILTER, Shea Rowing Center",0032,Shea Rowing Center,N/A,N/A
24980,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",0653_A_J7,Sherrerd Hall,A,A
24981,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",0653,Sherrerd Hall,N/A,N/A
24982,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",0653,Sherrerd Hall,N/A,N/A
24979,"PL, BOTTLE FILLER WATER FILTER, Sherrerd Hall",0653_01_H7,Sherrerd Hall,1,1
75004,"PL, BOTTLE FILLER WATER FILTER, Spelman Halls - A51",0153_A_JJ18,Spelman Halls,A51,A51
82503,"SF-GM, BOTTLE FILLER WATER FILTER, Thomas Laboratory",0163_00_M22,Thomas Laboratory,0,0
38358,"PL, BOTTLE FILLER WATER FILTER, University Place, 36",0089_A_C6,"University Place, 36",A,A
92281,"PL, BOTTLE FILLER WATER FILTER, 36 University Place, Room 310",0089_03_J5,"University Place, 36",3,ROOM 310
92282,"PL, BOTTLE FILLER WATER FILTER, 36 University Place, Corridor 202",0089_02_Q10,"University Place, 36",2,CORRIDOR 202
