locationcode,name,lat,long
0349,"Hartley Avenue, 307",40.346171240900,-74.632901115900
0394,"McCosh Circle, 123",40.346186508000,-74.636367533300
0630,Lewis Library,40.346197751800,-74.652729262400
0396,"McCosh Circle, 135",40.346210025300,-74.637096352400
0504,"Alexander Street, 20",40.346210205600,-74.663430568300
0398,"McCosh Circle, 151",40.346229368500,-74.637806258000
0397,"McCosh Circle, 143",40.346255256300,-74.637444038800
0374,"McCosh Circle, 7",40.346271362500,-74.639075780200
0364,"Maclean Circle, 84",40.346326319300,-74.634763068200
0042,Foulke Hall,40.346342291300,-74.660918068000
0097,Lowrie House,40.346357431300,-74.669286572800
0376,"McCosh Circle, 20",40.346360689700,-74.638253146000
0508,"University Place, 47",40.346370469300,-74.661675534600
0014,Brown Hall,40.346395894400,-74.657818259400
0395,"McCosh Circle, 127",40.346412645900,-74.636792080700
0293,"Edwards Place, 18-40",40.346422106100,-74.662775918300
0296,"Edwards Place, 31",40.346428835700,-74.663232091200
0058,Jones Hall,40.346438774300,-74.655865714100
0362,"Maclean Circle, 69",40.346463355100,-74.633909582600
0068,"University Place, 45",40.346500734000,-74.661748502200
0348,"Hartley Avenue, 293",40.346505672800,-74.633110131200
0072,"University Place, 48",40.346507903000,-74.661174374800
0402,"Hartley Avenue, 302",40.346551032800,-74.632362337700
0133,Peyton Hall,40.346557000000,-74.651685791800
0366,"Maclean Circle, 94",40.346557960200,-74.635064699400
0817,"Forrestal Road, 700",40.346567673100,-74.613902705500
0021,Little Hall,40.346579203400,-74.659772051100
0505,"University Place, 41",40.346599815800,-74.661819992500
0159,"Edwards Place, 29",40.346613713400,-74.663230760400
0165,"Edwards Place, 27",40.346642386100,-74.663162567600
0542,"Edwards Place, 14",40.346673802000,-74.662305839700
0554,Center for Jewish Life,40.346680256700,-74.653627624200
0506,"University Place, 39",40.346689424200,-74.661903026700
0373,"McCosh Circle, 6",40.346697338500,-74.638364667300
0650,"Edwards Place, 25",40.346705078700,-74.663035736700
0074,Power House,40.346716814300,-74.614797677100
0605,Frist Campus Center,40.346730617100,-74.655148180700
0049,Lockhart Hall,40.346743112200,-74.661282935100
0295,"Edwards Place, 21",40.346762454000,-74.662899621700
0294,"Edwards Place, 19",40.346795828800,-74.662821381500
0012,Dod Hall,40.346799572500,-74.658659644600
0513,"Ivy Lane, 5",40.346812217300,-74.652980691300
0347,"Hartley Avenue, 292",40.346818326000,-74.632569560500
0149,"University Place, 35",40.346820121400,-74.662000997100
0346,"Hartley Avenue, 283",40.346820362500,-74.633351308700
