asset,description,buildingcode,building
75004,"PL, BOTTLE FILLER WATER FILTER, Spelman Halls - A51",0153_A_JJ18,Spelman Halls
82503,"SF-GM, BOTTLE FILLER WATER FILTER, Thomas Laboratory",0163_00_M22,Thomas Laboratory
38358,"PL, BOTTLE FILLER WATER FILTER, University Place, 36",0089_A_C6,"University Place, 36"
92281,"PL, BOTTLE FILLER WATER FILTER, 36 University Place, Room 310",0089_03_J5,"University Place, 36"
92282,"PL, BOTTLE FILLER WATER FILTER, 36 University Place, Corridor 202",0089_02_Q10,"University Place, 36"
72124,"PL, BOTTLE FILLER WATER FILTER, LCA- W FORUM EL#1",0752_00_G26,Wallace Dance Building and Theater
72127,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_00_K30,Wallace Dance Building and Theater
72118,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_00_K30,Wallace Dance Building and Theater
72125,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_03_D20,Wallace Dance Building and Theater
72132,"PL, BOTTLE FILLER WATER FILTER, LCA- BY STAIR # 9",0752_00_K30,Wallace Dance Building and Theater
72126,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_0M_R99,Wallace Dance Building and Theater
72133,"PL, BOTTLE FILLER WATER FILTER, ""FILTRINE FOUNTAIN""- LCA W207 COR",0752_02_L39,Wallace Dance Building and Theater
72122,"PL, BOTTLE FILLER WATER FILTER, LCA- FORUM EL#4",0752_00_D21,Wallace Dance Building and Theater
72128,"PL, BOTTLE FILLER WATER FILTER, LCA- OUTSIDE ELV. #1",0752_00_K30,Wallace Dance Building and Theater
66005,"PL, BOTTLE FILLER WATER FILTER, Wallace Hall",0615_A_C9,Wallace Hall
82492,"PL, BOTTLE FILLER WATER FILTER, Whitman College, Wendell Hall 'C'",0670_01_UU27,Wendell Hall 'C'
90946,"PL, BOTTLE FILLER WATER FILTER, Wendell Hall ""C"", Hallway C300B",0670_03_TT44,Wendell Hall 'C'
90947,"PL, BOTTLE FILLER WATER FILTER, Wendell Hall ""C"", Hallway C400A",0670_04_TT42,Wendell Hall 'C'
24615,"PL, BOTTLE FILLER WATER FILTER, Whig Hall",0017_00_K7,Whig Hall
24793,"PL, BOTTLE FILLER WATER FILTER, Wilcox Hall",99,Wilcox Hall
24801,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_02_LL66,Wilf Hall
24802,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_03_LL66,Wilf Hall
24803,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_04_LL66,Wilf Hall
24804,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_02_V68,Wilf Hall
52655,"PL, BOTTLE FILLER WATER FILTER, Witherspoon Hall",0007_04_J12,Witherspoon Hall
24530,"PL, BOTTLE FILLER WATER FILTER, Witherspoon Hall",0007_00_M19,Witherspoon Hall
25007,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_A_I19,Woolworth Music Center
25008,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_01_W15,Woolworth Music Center
25009,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_02_W25,Woolworth Music Center
25010,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_02_M14,Woolworth Music Center
25011,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_03_T14,Woolworth Music Center
24790,"PL, BOTTLE FILLER WATER FILTER, Wu Hall",0160_02_J21,Wu Hall
24976,"PL, BOTTLE FILLER WATER FILTER, Butler College, Yoseloff Hall",0693_01_G24,Yoseloff Hall
24977,"PL, BOTTLE FILLER WATER FILTER, Butler College, Yoseloff Hall",0693_02_G24,Yoseloff Hall
24978,"PL, BOTTLE FILLER WATER FILTER, Butler College, Yoseloff Hall",693,Yoseloff Hall
